Gintama,,https://cdn.myanimelist.net/images/anime/10/73274.jpg, TV,201, Finished Airing," Apr 4, 2006 to Mar 25, 2010"," TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha", Sunrise,," ActionAction, ComedyComedy, Sci-FiSci-Fi", 24 min. per ep., PG-13 - Teens 13 or older,,372149,17,#138,"995,333","56,548","Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people?though usually in rather strange and unforeseen ways. Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo."
Steins;Gate,,https://cdn.myanimelist.net/images/anime/1935/127974.jpg, TV,24, Finished Airing," Apr 6, 2011 to Sep 14, 2011"," Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus", White Fox,," DramaDrama, Sci-FiSci-Fi, SuspenseSuspense", 24 min. per ep., PG-13 - Teens 13 or older,,1296710,4,#13,"2,362,889","178,424","Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Rintarou founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo. However, when Rintarou decides to attend neuroscientist Kurisu Makise's conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Rintarou dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN. Due to the novel discovery, Rintarou and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, he is not only fighting a battle to save his loved ones, but also one against his degrading sanity."
Mushishi Zoku Shou 2nd Season,Mushi-shi: Next Passage Part 2,https://cdn.myanimelist.net/images/anime/9/68095.jpg, TV,10, Finished Airing," Oct 19, 2014 to Dec 21, 2014"," Aniplex, Kodansha, Delfi Sound", Artland,," AdventureAdventure, FantasyFantasy, MysteryMystery, Slice of LifeSlice of Life, SupernaturalSupernatural", 23 min. per ep., PG-13 - Teens 13 or older,,98604,42,#863,"247,882","1,366","Ghostly, primordial beings known as Mushi continue to cause mysterious changes in the lives of humans. The travelling Mushishi, Ginko, persists in trying to set right the strange and unsettling situations he encounters. Time loops, living shadows, and telepathy are among the overt effects of interference from Mushi, but more subtle symptoms that take years to be noticed also rouse Ginko's concern as he passes from village to village. Through circumstance, Ginko has become an arbiter, determining which Mushi are blessings and which are curses. But the lines that he seeks to draw are subjective. Some of his patients would rather exercise their new powers until they are utterly consumed by them; others desperately strive to rid themselves of afflictions which are in fact protecting their lives from devastation. Those who cross paths with Mushi must learn to accept seemingly impossible consequences for their actions, and heal wounds they did not know they had. Otherwise, they risk meeting with fates beyond their comprehension."
Kingdom 4th Season,Kingdom: Season 4,https://cdn.myanimelist.net/images/anime/1566/122794.jpg, TV,26, Finished Airing," Apr 10, 2022 to Oct 2, 2022"," Avex Pictures, Shueisha, NHK Enterprises"," Pierrot, Studio Signpost",,ActionAction, 24 min. per ep., R - 17+ (violence & profanity),,17497,38,#2881,"47,700",879,"Following the conclusion of the large-scale coalition campaign, the entirety of China is in a state of economic recovery. The victor of the battle, the state of Qin, is no different. There, the political parties led by Ying Zheng and Buwei Lü continue their inner conflict. Having played the role of king in the coalition battle, Zheng has the trust of the people?but Lü is far from out of the fight. In 18 months, he plans to interrupt Zheng's coming-of-age ceremony. Meanwhile, a Zhao army numbering 20,000 troops has set out toward Qin. In the royal court, due to the lack of generals capable of responding to the incoming threat, Lü slyly suggests that Zheng take command. However, Cheng Jiao, Zheng's half-brother, volunteers instead. As they grew to trust each other during the coalition battle, Zheng now accepts Jiao as his replacement. However, the Zhao forces retreat a mere half-day after clashing with Jiao's army. With trouble quickly brewing in the shadows, the internal struggle of Qin is only complicated further. There are only two men Zheng feels he can rely on: Bi, a general who commands 30,000 men; and Xin, the leader of the Fei Xin force."
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,JoJo's Bizarre Adventure: Stone Ocean Part 3,https://cdn.myanimelist.net/images/anime/1233/128920.jpg, ONA,14, Finished Airing," Dec 1, 2022"," Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha", David Production,," ActionAction, AdventureAdventure", 24 min. per ep., R - 17+ (violence & profanity),,59771,45,#1868,"98,687","1,704","After finally escaping the confines of Green Dolphin Street Jail, Jolyne Kuujou?alongside her companions Ermes Costello and Emporio Alniño?pursues the villainous priest Enrico Pucci across the state of Florida. Jolyne's allies, Weather Report and Narciso Anasui, struggle to catch up with her in order to help bring an end to Pucci's plot. As both parties pursue the priest, they must battle against Pucci's band of enemy Stand users. While Jolyne's comrades fight for their lives, Pucci races to the Kennedy Space Center. There he hopes to enact his ultimate goal, one he believes God has entrusted to him. He aims to fulfill the will of the Joestars' blood enemy Dio Brando and?by robbing humanity of free will and making them slaves to fate?to create a world where all humans are blissfully happy. Unable to rely on the aid of her comatose father Joutarou, Jolyne must weaponize all she has learned in prison to confront Pucci in a climactic battle while the world itself hangs in the balance."
Sen to Chihiro no Kamikakushi,Spirited Away,https://cdn.myanimelist.net/images/anime/6/79597.jpg, Movie,1, Finished Airing," Jul 20, 2001", Toho, Studio Ghibli,," AdventureAdventure, Award WinningAward Winning, SupernaturalSupernatural", 2 hr. 4 min., PG - Children,,1194838,34,#44,"1,702,483","30,088","Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start?Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way. Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home."
Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,https://cdn.myanimelist.net/images/anime/4/9391.jpg, TV,25, Finished Airing," Apr 6, 2008 to Sep 28, 2008"," Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners", Sunrise,," ActionAction, DramaDrama, Sci-FiSci-Fi", 24 min. per ep., R - 17+ (violence & profanity),,1115782,21,#47,"1,650,977","73,196","One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance group?the Black Knights?find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt. Lelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started, in this thrilling conclusion to the series."
Monogatari Series: Second Season,,https://cdn.myanimelist.net/images/anime/1807/121534.jpg, TV,26, Finished Airing," Jul 7, 2013 to Dec 29, 2013"," Aniplex, Kodansha, Cyclone Graphics", Shaft,," ComedyComedy, MysteryMystery, RomanceRomance, SupernaturalSupernatural", 25 min. per ep., R - 17+ (violence & profanity),,339175,36,#287,"633,904","22,824","Apparitions, oddities, and gods continue to manifest around Koyomi Araragi and his close-knit group of friends: Tsubasa Hanekawa, the group's modest genius; Shinobu Oshino, the resident doughnut-loving vampire; athletic deviant Suruga Kanbaru; bite-happy spirit Mayoi Hachikuji; Koyomi's cutesy stalker Nadeko Sengoku; and Hitagi Senjougahara, Koyomi's aloof classmate. Monogatari Series: Second Season revolves around these individuals and their struggle to overcome the darkness that is rapidly approaching. A new semester has begun and with graduation looming over Koyomi, he must quickly decide the paths he will walk, as well as the relationships and friends that he'll save. But as strange events begin to unfold, Koyomi is nowhere to be found, and a vicious tiger apparition has appeared in his absence. Hanekawa has become its target, and she must fend for herself?or bow to the creature's perspective on the feebleness of humanity."
Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,https://cdn.myanimelist.net/images/anime/1764/126627.jpg, TV,13, Finished Airing," Oct 11, 2022 to Dec 27, 2022"," TV Tokyo, Aniplex, Dentsu, Shueisha", Pierrot,," ActionAction, AdventureAdventure, FantasyFantasy", 24 min. per ep., R - 17+ (violence & profanity),,150465,1,#554,"367,178","14,651","Substitute Soul Reaper Ichigo Kurosaki spends his days fighting against Hollows, dangerous evil spirits that threaten Karakura Town. Ichigo carries out his quest with his closest allies: Orihime Inoue, his childhood friend with a talent for healing; Yasutora Sado, his high school classmate with superhuman strength; and Uryuu Ishida, Ichigo's Quincy rival. Ichigo's vigilante routine is disrupted by the sudden appearance of Asguiaro Ebern, a dangerous Arrancar who heralds the return of Yhwach, an ancient Quincy king. Yhwach seeks to reignite the historic blood feud between Soul Reaper and Quincy, and he sets his sights on erasing both the human world and the Soul Society for good. Yhwach launches a two-pronged invasion into both the Soul Society and Hueco Mundo, the home of Hollows and Arrancar. In retaliation, Ichigo and his friends must fight alongside old allies and enemies alike to end Yhwach's campaign of carnage before the world itself comes to an end."
Hunter x Hunter (2011),Hunter x Hunter,https://cdn.myanimelist.net/images/anime/1337/99013.jpg, TV,148, Finished Airing," Oct 2, 2011 to Sep 24, 2014"," VAP, Nippon Television Network, Shueisha", Madhouse,," ActionAction, AdventureAdventure, FantasyFantasy", 23 min. per ep., PG-13 - Teens 13 or older,,1588307,9,#10,"2,555,612","194,016","Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination?a high-risk selection process in which most applicants end up handicapped or worse, deceased. Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path. During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world."
